Pekingese,Bedlington Terrier,Miniature Schnauzer,Lhasa Apso,Shiba Inu,Clumber Spaniel,Kooikerhondje,Akita,Giant Schnauzer,Otterhound,Yorkshire Terrier,Gordon Setter,Boykin Spaniel,Old English Sheepdog,Mutt,Bearded Collie,Australian Shepherd,Sealyham Terrier,Norwegian Elkhound,Pomsky,Fox Terrier,Alaskan Malamute,West Highland White Terrier,Icelandic Sheepdog,Petit Basset Griffon Vendeen,Canaan Dog,Australian Cattle Dog,Jack Russell Terrier,Alaskan Klee Kai,Pomeranian,Cardigan Welsh Corgi,Belgian Tervuren,Shih Tzu,Great Pyrenees,Norwegian Buhund,Scottish Deerhound,Lancashire Heeler,Pembroke Welsh Corgi,Belgian Sheepdog,Silky Terrier,Skye Terrier,German Pinscher,Maltese Shih Tzu,Labradoodle,Small Munsterlander Pointer,Cocker Spaniel,Brussels Griffon,Scottish Terrier,Airedale Terrier,Stabyhoun,Curly-Coated Retriever,Samoyed,Chinese Shar-Pei,Anatolian Shepherd Dog,Dandie Dinmont Terrier,German Wirehaired Pointer,Dachshund,Border Terrier,Bloodhound,Afghan Hound,Manchester Terrier,Irish Setter,Komondor,American Eskimo Dog,English Toy Spaniel,Irish Terrier,English Foxhound,Shetland Sheepdog,Azawakh,Chow Chow,Lakeland Terrier,Dalmatian,Kerry Blue Terrier,Doberman Pinscher,Irish Red and White Setter,Bracco Italiano,Chesapeake Bay Retriever,Leonberger,Goldador,Collie,Peekapoo,Polish Lowland Sheepdog,Border Collie,Standard Schnauzer,Tibetan Terrier,Golden Retriever,Finnish Spitz,Swedish Vallhund,Maltese,Kuvasz,Papillon,Norwich Terrier,Welsh Terrier,Briard,Black and Tan Coonhound,Cockapoo,Yorkipoo,Belgian Malinois,Affenpinscher,Cesky Terrier,Borzoi,Japanese Chin,English Springer Spaniel,Newfoundland,Catahoula Leopard Dog,Bichon Frise,Finnish Lapphund,Berger Picard,Barbet,Cane Corso,Bernese Mountain Dog,Mastiff,Rat Terrier,Treeing Tennessee Brindle,Treeing Walker Coonhound,Miniature Pinscher,Schipperke,Keeshond,Entlebucher Mountain Dog,Brittany,Harrier,Norwegian Lundehund,Xoloitzcuintli,Havanese,Siberian Husky,English Cocker Spaniel,Lowchen,Toy Fox Terrier,Plott,German Shepherd Dog,American Water Spaniel,Norfolk Terrier,Labrador Retriever,English Setter,Soft Coated Wheaten Terrier,Irish Wolfhound,Goldendoodle,Weimaraner,Black Russian Terrier,Portuguese Water Dog,Australian Terrier,Irish Water Spaniel,Puli,Welsh Springer Spaniel,Pyrenean Shepherd,Bulldog,Chinook,Boxer,Saluki,Tibetan Spaniel,Sloughi,Schnoodle,Bernedoodle,Rottweiler,Bull Terrier,Bolognese,Neapolitan Mastiff,Field Spaniel,Ibizan Hound,Beagle,Nova Scotia Duck Tolling Retriever,Basset Hound,Greater Swiss Mountain Dog,American English Coonhound,Black Mouth Cur,Bouvier des Flandres,Pocket Beagle,Puggle,Maltipoo,French Bulldog,Pharaoh Hound,Flat-Coated Retriever,Pug,Boston Terrier,Saint Bernard,Cavalier King Charles Spaniel,Poodle,American Pit Bull Terrier,Bluetick Coonhound,Redbone Coonhound,Staffordshire Bull Terrier,Whippet,Appenzeller Sennenhunde,Cairn Terrier,Greyhound,Dogue de Bordeaux,Basenji,Chinese Crested,Glen of Imaal Terrier,Rhodesian Ridgeback,Wirehaired Pointing Griffon,American Foxhound,Great Dane,Pointer,Coton de Tulear,German Shorthaired Pointer,Sussex Spaniel,Italian Greyhound,Vizsla,Tibetan Mastiff,Bullmastiff,Chihuahua
278.25,90.25,114.5,213.0,133.25,132.5,113.5,160.75,96.0,51.25,221.25,133.0,98.5,82.75,112.0,84.25,99.75,143.75,85.75,166.25,120.5,117.5,130.75,133.0,127.0,93.25,76.5,116.25,152.25,257.25,139.75,81.0,236.0,70.5,89.5,70.5,203.25,124.75,46.0,204.0,140.75,83.0,224.0,22.25,78.25,146.5,236.25,125.75,97.75,103.5,79.5,111.25,210.75,103.75,210.75,60.0,237.25,132.5,100.25,61.5,144.0,63.0,153.0,126.25,181.75,104.75,83.75,204.0,115.25,179.25,120.5,83.5,87.75,105.0,90.5,69.75,134.0,94.5,30.25,115.25,216.5,81.75,80.75,78.25,142.5,110.0,100.0,71.5,230.5,123.5,190.5,176.0,135.0,65.5,103.25,116.0,195.5,49.5,206.25,161.25,97.5,250.25,93.0,116.0,110.0,127.0,66.25,49.75,93.75,107.0,99.25,104.5,185.5,104.75,85.75,203.0,200.25,97.25,102.75,104.0,77.0,94.0,152.0,145.0,103.0,121.25,193.25,202.5,95.5,65.75,100.75,167.0,73.0,98.0,76.25,90.25,53.25,77.75,63.75,70.0,196.0,66.25,90.5,83.75,154.75,206.75,83.0,103.5,78.75,223.75,48.75,54.5,74.5,122.5,118.25,217.0,136.0,128.0,70.0,135.0,64.0,185.25,60.25,86.25,73.75,80.75,130.0,139.0,155.5,154.5,116.25,88.25,168.5,113.25,102.25,140.0,55.0,105.75,84.75,90.75,167.5,68.0,110.5,178.25,74.25,138.0,130.25,188.5,185.75,43.75,90.0,95.25,87.0,90.0,202.25,91.75,161.0,131.0,104.0,70.5,96.75,233.75
278.25,134.25,140.5,261.0,149.25,166.5,135.5,158.75,104.0,87.25,261.25,149.0,124.5,124.75,112.0,120.25,125.75,177.75,119.75,182.25,162.5,135.5,164.75,141.0,187.0,109.25,102.5,160.25,168.25,257.25,165.75,105.0,272.0,88.5,139.5,96.5,211.25,158.75,98.0,236.0,174.75,115.0,240.0,82.25,106.25,172.5,260.25,159.75,123.75,137.5,105.5,147.25,184.75,77.75,236.75,84.0,277.25,182.5,112.25,111.5,176.0,99.0,153.0,186.25,183.75,154.75,109.75,232.0,123.25,135.25,154.5,109.5,113.75,129.0,116.5,63.75,142.0,104.5,74.25,143.25,250.5,115.75,114.75,126.25,208.5,146.0,152.0,113.5,256.5,105.5,232.5,244.0,187.0,99.5,139.25,160.0,237.5,75.5,222.25,193.25,107.5,266.25,129.0,128.0,94.0,179.0,126.25,99.75,119.75,83.0,119.25,130.5,251.5,106.75,87.75,243.0,256.25,149.25,136.75,140.0,113.0,130.0,168.0,189.0,147.0,181.25,253.25,260.5,89.5,115.75,134.75,211.0,109.0,126.0,136.25,102.25,81.25,103.75,113.75,130.0,244.0,102.25,148.5,133.75,220.75,240.75,119.0,153.5,96.75,273.75,82.75,88.5,116.5,148.5,178.25,253.0,144.0,164.0,138.0,195.0,132.0,205.25,88.25,122.25,91.75,114.75,174.0,167.0,189.5,204.5,152.25,124.25,218.5,181.25,130.25,200.0,115.0,155.75,126.75,148.75,209.5,128.0,128.5,246.25,118.25,170.0,158.25,214.5,227.75,93.75,118.0,131.25,123.0,126.0,254.25,125.75,197.0,183.0,140.0,88.5,138.75,275.75
4,5,17,9,16,1,2,9,17,32,1,9,20,1,8,5,17,2,2,0,8,16,2,17,5,5,13,8,5,1,5,4,4,20,13,17,13,5,8,4,2,8,4,9,25,0,0,5,17,13,20,10,10,20,2,10,4,1,17,1,4,17,9,1,1,5,25,10,4,20,2,13,8,5,16,20,17,17,18,5,1,5,9,2,0,9,4,8,0,16,0,1,5,8,17,5,4,20,0,4,0,0,16,16,17,0,2,8,4,16,16,13,4,17,17,1,5,1,20,16,20,17,0,0,9,0,0,0,17,5,9,5,17,16,1,17,20,16,4,2,1,8,2,1,0,4,1,1,16,0,5,5,5,9,2,1,9,16,1,1,1,4,20,17,17,5,2,5,0,0,2,16,0,4,4,0,0,4,10,2,5,1,16,0,1,1,9,0,5,2,16,16,16,16,0,16,0,0,16,16,5,0
4,5,17,9,16,1,2,9,17,32,1,9,20,1,8,5,17,2,2,0,8,16,2,17,5,5,13,8,5,1,5,4,4,20,13,17,13,5,8,4,2,8,4,9,25,0,0,5,17,13,20,10,10,20,2,10,4,1,17,1,4,17,9,1,1,5,25,10,4,20,2,13,8,5,16,20,17,17,18,5,1,5,9,2,0,9,4,8,0,16,0,1,5,8,17,5,4,20,0,4,0,0,16,16,17,0,2,8,4,16,16,13,4,17,17,1,5,1,20,16,20,17,0,0,9,0,0,0,17,5,9,5,17,16,1,17,20,16,4,2,1,8,2,1,0,4,1,1,16,0,5,5,5,9,2,1,9,16,1,1,1,4,20,17,17,5,2,5,0,0,2,16,0,4,4,0,0,4,10,2,5,1,16,0,1,1,9,0,5,2,16,16,16,16,0,16,0,0,16,16,5,0
40.0,39.0,37.25,28.0,38.0,33.25,25.25,51.25,41.0,58.0,17.0,36.0,32.25,31.25,25.0,31.0,33.25,22.25,34.25,29.0,23.25,68.25,21.25,48.0,38.0,15.0,27.25,34.0,41.0,33.0,28.25,26.0,45.0,47.25,48.25,54.25,27.0,40.25,34.0,19.0,39.25,24.0,23.0,46.0,58.0,20.25,15.0,30.25,32.25,30.25,37.25,62.0,44.25,49.25,20.25,21.0,13.0,41.25,45.0,21.25,17.0,50.0,39.0,34.0,23.25,37.25,39.25,44.0,10.0,61.0,22.25,25.25,48.25,27.0,41.25,34.25,44.0,56.25,55.0,32.0,21.25,25.25,41.25,18.0,17.25,37.0,32.0,43.25,8.25,50.25,21.25,31.0,28.0,24.25,47.0,28.0,16.25,45.25,14.0,26.0,25.25,27.0,34.0,55.0,42.0,26.0,40.0,28.25,21.25,27.0,72.0,50.25,20.25,32.25,35.25,19.0,29.0,35.0,45.25,42.0,45.0,57.0,18.0,25.0,49.0,33.0,22.0,15.25,25.25,38.25,26.25,28.0,45.0,49.0,26.0,55.0,41.0,31.25,32.25,23.0,20.0,39.0,18.25,18.25,25.25,47.25,31.0,33.25,24.25,16.25,17.25,17.25,32.25,34.25,24.0,26.0,28.0,35.0,15.0,23.0,25.0,34.0,60.0,48.0,35.25,35.25,17.0,33.0,17.25,29.25,15.0,46.0,29.25,30.0,56.0,33.0,19.0,43.25,28.25,22.25,59.25,16.0,40.25,24.0,22.0,31.0,31.0,16.25,25.25,17.25,50.0,39.0,41.0,38.0,28.0,25.25,36.0,18.0,37.0,44.25,30.25,21.25
40.0,39.0,37.25,28.0,38.0,33.25,25.25,51.25,41.0,58.0,17.0,36.0,32.25,31.25,25.0,31.0,33.25,22.25,34.25,29.0,23.25,68.25,21.25,48.0,38.0,15.0,27.25,34.0,41.0,33.0,28.25,26.0,45.0,47.25,48.25,54.25,27.0,40.25,34.0,19.0,39.25,24.0,23.0,46.0,58.0,20.25,15.0,30.25,32.25,30.25,37.25,62.0,44.25,49.25,20.25,21.0,13.0,41.25,45.0,21.25,17.0,50.0,39.0,34.0,23.25,37.25,39.25,44.0,10.0,61.0,22.25,25.25,48.25,27.0,41.25,34.25,44.0,56.25,55.0,32.0,21.25,25.25,41.25,18.0,17.25,37.0,32.0,43.25,8.25,50.25,21.25,31.0,28.0,24.25,47.0,28.0,16.25,45.25,14.0,26.0,25.25,27.0,34.0,55.0,42.0,26.0,40.0,28.25,21.25,27.0,72.0,50.25,20.25,32.25,35.25,19.0,29.0,35.0,45.25,42.0,45.0,57.0,18.0,25.0,49.0,33.0,22.0,15.25,25.25,38.25,26.25,28.0,45.0,49.0,26.0,55.0,41.0,31.25,32.25,23.0,20.0,39.0,18.25,18.25,25.25,47.25,31.0,33.25,24.25,16.25,17.25,17.25,32.25,34.25,24.0,26.0,28.0,35.0,15.0,23.0,25.0,34.0,60.0,48.0,35.25,35.25,17.0,33.0,17.25,29.25,15.0,46.0,29.25,30.0,56.0,33.0,19.0,43.25,28.25,22.25,59.25,16.0,40.25,24.0,22.0,31.0,31.0,16.25,25.25,17.25,50.0,39.0,41.0,38.0,28.0,25.25,36.0,18.0,37.0,44.25,30.25,21.25
40.0,39.0,37.25,28.0,38.0,33.25,25.25,51.25,41.0,58.0,17.0,36.0,32.25,31.25,25.0,31.0,33.25,22.25,34.25,29.0,23.25,68.25,21.25,48.0,38.0,15.0,27.25,34.0,41.0,33.0,28.25,26.0,45.0,47.25,48.25,54.25,27.0,40.25,34.0,19.0,39.25,24.0,23.0,46.0,58.0,20.25,15.0,30.25,32.25,30.25,37.25,62.0,44.25,49.25,20.25,21.0,13.0,41.25,45.0,21.25,17.0,50.0,39.0,34.0,23.25,37.25,39.25,44.0,10.0,61.0,22.25,25.25,48.25,27.0,41.25,34.25,44.0,56.25,55.0,32.0,21.25,25.25,41.25,18.0,17.25,37.0,32.0,43.25,8.25,50.25,21.25,31.0,28.0,24.25,47.0,28.0,16.25,45.25,14.0,26.0,25.25,27.0,34.0,55.0,42.0,26.0,40.0,28.25,21.25,27.0,72.0,50.25,20.25,32.25,35.25,19.0,29.0,35.0,45.25,42.0,45.0,57.0,18.0,25.0,49.0,33.0,22.0,15.25,25.25,38.25,26.25,28.0,45.0,49.0,26.0,55.0,41.0,31.25,32.25,23.0,20.0,39.0,18.25,18.25,25.25,47.25,31.0,33.25,24.25,16.25,17.25,17.25,32.25,34.25,24.0,26.0,28.0,35.0,15.0,23.0,25.0,34.0,60.0,48.0,35.25,35.25,17.0,33.0,17.25,29.25,15.0,46.0,29.25,30.0,56.0,33.0,19.0,43.25,28.25,22.25,59.25,16.0,40.25,24.0,22.0,31.0,31.0,16.25,25.25,17.25,50.0,39.0,41.0,38.0,28.0,25.25,36.0,18.0,37.0,44.25,30.25,21.25
40.0,39.0,37.25,28.0,38.0,33.25,25.25,51.25,41.0,58.0,17.0,36.0,32.25,31.25,25.0,31.0,33.25,22.25,34.25,29.0,23.25,68.25,21.25,48.0,38.0,15.0,27.25,34.0,41.0,33.0,28.25,26.0,45.0,47.25,48.25,54.25,27.0,40.25,34.0,19.0,39.25,24.0,23.0,46.0,58.0,20.25,15.0,30.25,32.25,30.25,37.25,62.0,44.25,49.25,20.25,21.0,13.0,41.25,45.0,21.25,17.0,50.0,39.0,34.0,23.25,37.25,39.25,44.0,10.0,61.0,22.25,25.25,48.25,27.0,41.25,34.25,44.0,56.25,55.0,32.0,21.25,25.25,41.25,18.0,17.25,37.0,32.0,43.25,8.25,50.25,21.25,31.0,28.0,24.25,47.0,28.0,16.25,45.25,14.0,26.0,25.25,27.0,34.0,55.0,42.0,26.0,40.0,28.25,21.25,27.0,72.0,50.25,20.25,32.25,35.25,19.0,29.0,35.0,45.25,42.0,45.0,57.0,18.0,25.0,49.0,33.0,22.0,15.25,25.25,38.25,26.25,28.0,45.0,49.0,26.0,55.0,41.0,31.25,32.25,23.0,20.0,39.0,18.25,18.25,25.25,47.25,31.0,33.25,24.25,16.25,17.25,17.25,32.25,34.25,24.0,26.0,28.0,35.0,15.0,23.0,25.0,34.0,60.0,48.0,35.25,35.25,17.0,33.0,17.25,29.25,15.0,46.0,29.25,30.0,56.0,33.0,19.0,43.25,28.25,22.25,59.25,16.0,40.25,24.0,22.0,31.0,31.0,16.25,25.25,17.25,50.0,39.0,41.0,38.0,28.0,25.25,36.0,18.0,37.0,44.25,30.25,21.25
40.0,39.0,37.25,28.0,38.0,33.25,25.25,51.25,41.0,58.0,17.0,36.0,32.25,31.25,25.0,31.0,33.25,22.25,34.25,29.0,23.25,68.25,21.25,48.0,38.0,15.0,27.25,34.0,41.0,33.0,28.25,26.0,45.0,47.25,48.25,54.25,27.0,40.25,34.0,19.0,39.25,24.0,23.0,46.0,58.0,20.25,15.0,30.25,32.25,30.25,37.25,62.0,44.25,49.25,20.25,21.0,13.0,41.25,45.0,21.25,17.0,50.0,39.0,34.0,23.25,37.25,39.25,44.0,10.0,61.0,22.25,25.25,48.25,27.0,41.25,34.25,44.0,56.25,55.0,32.0,21.25,25.25,41.25,18.0,17.25,37.0,32.0,43.25,8.25,50.25,21.25,31.0,28.0,24.25,47.0,28.0,16.25,45.25,14.0,26.0,25.25,27.0,34.0,55.0,42.0,26.0,40.0,28.25,21.25,27.0,72.0,50.25,20.25,32.25,35.25,19.0,29.0,35.0,45.25,42.0,45.0,57.0,18.0,25.0,49.0,33.0,22.0,15.25,25.25,38.25,26.25,28.0,45.0,49.0,26.0,55.0,41.0,31.25,32.25,23.0,20.0,39.0,18.25,18.25,25.25,47.25,31.0,33.25,24.25,16.25,17.25,17.25,32.25,34.25,24.0,26.0,28.0,35.0,15.0,23.0,25.0,34.0,60.0,48.0,35.25,35.25,17.0,33.0,17.25,29.25,15.0,46.0,29.25,30.0,56.0,33.0,19.0,43.25,28.25,22.25,59.25,16.0,40.25,24.0,22.0,31.0,31.0,16.25,25.25,17.25,50.0,39.0,41.0,38.0,28.0,25.25,36.0,18.0,37.0,44.25,30.25,21.25
40.0,39.0,37.25,28.0,38.0,33.25,25.25,51.25,41.0,58.0,17.0,36.0,32.25,31.25,25.0,31.0,33.25,22.25,34.25,29.0,23.25,68.25,21.25,48.0,38.0,15.0,27.25,34.0,41.0,33.0,28.25,26.0,45.0,47.25,48.25,54.25,27.0,40.25,34.0,19.0,39.25,24.0,23.0,46.0,58.0,20.25,15.0,30.25,32.25,30.25,37.25,62.0,44.25,49.25,20.25,21.0,13.0,41.25,45.0,21.25,17.0,50.0,39.0,34.0,23.25,37.25,39.25,44.0,10.0,61.0,22.25,25.25,48.25,27.0,41.25,34.25,44.0,56.25,55.0,32.0,21.25,25.25,41.25,18.0,17.25,37.0,32.0,43.25,8.25,50.25,21.25,31.0,28.0,24.25,47.0,28.0,16.25,45.25,14.0,26.0,25.25,27.0,34.0,55.0,42.0,26.0,40.0,28.25,21.25,27.0,72.0,50.25,20.25,32.25,35.25,19.0,29.0,35.0,45.25,42.0,45.0,57.0,18.0,25.0,49.0,33.0,22.0,15.25,25.25,38.25,26.25,28.0,45.0,49.0,26.0,55.0,41.0,31.25,32.25,23.0,20.0,39.0,18.25,18.25,25.25,47.25,31.0,33.25,24.25,16.25,17.25,17.25,32.25,34.25,24.0,26.0,28.0,35.0,15.0,23.0,25.0,34.0,60.0,48.0,35.25,35.25,17.0,33.0,17.25,29.25,15.0,46.0,29.25,30.0,56.0,33.0,19.0,43.25,28.25,22.25,59.25,16.0,40.25,24.0,22.0,31.0,31.0,16.25,25.25,17.25,50.0,39.0,41.0,38.0,28.0,25.25,36.0,18.0,37.0,44.25,30.25,21.25
16.0,28.0,36.25,32.0,29.0,12.25,28.25,34.25,35.0,68.0,23.0,32.0,55.25,22.25,21.0,27.0,44.25,23.25,23.25,10.0,39.25,47.25,22.25,45.0,41.0,20.0,36.25,37.0,28.0,16.0,24.25,22.0,22.0,48.25,51.25,53.25,31.0,29.25,44.0,27.0,31.25,38.0,17.0,38.0,61.0,11.25,11.0,26.25,45.25,41.25,48.25,39.0,28.25,34.25,21.25,35.0,29.0,37.25,46.0,29.25,22.0,53.0,34.0,30.0,8.25,55.25,52.25,40.0,14.0,37.0,26.25,41.25,37.25,35.0,44.25,35.25,54.0,41.25,54.0,30.0,17.25,29.25,40.25,32.0,35.25,38.0,40.0,39.25,11.25,34.25,16.25,37.0,41.0,35.25,53.0,27.0,28.25,56.25,11.0,22.0,8.25,10.0,52.0,41.0,47.0,23.0,38.0,46.25,25.25,31.0,49.0,49.25,42.25,38.25,41.25,24.0,47.0,31.0,58.25,52.0,56.0,53.0,18.0,17.0,45.0,29.0,30.0,31.25,32.25,48.25,45.25,27.0,53.0,45.0,30.0,41.0,49.0,47.25,47.25,38.0,31.0,38.0,36.25,36.25,43.25,28.25,25.0,32.25,37.25,28.25,33.25,36.25,33.25,38.25,39.0,25.0,32.0,53.0,37.0,37.0,38.0,25.0,49.0,54.0,48.25,41.25,31.0,29.0,16.25,21.25,26.0,52.0,21.25,40.0,28.0,29.0,30.0,54.25,48.25,37.25,48.25,31.0,47.25,37.0,31.0,38.0,34.0,20.25,41.25,30.25,46.0,52.0,52.0,52.0,24.0,51.25,21.0,30.0,52.0,38.25,33.25,31.25
